"","s"
"901","John 18:1 
 When Jesus had spoken these words, he went forth with his disciples over the brook Cedron, where was a garden, into the which he entered, and his disciples. 
"
"902","John 18:2 
 And Judas also, which betrayed him, knew the place: for Jesus ofttimes resorted thither with his disciples. 
"
"903","John 18:4 
 Jesus therefore, knowing all things that should come upon him, went forth, and said unto them, Whom seek ye? 
"
"904","John 18:5 
 They answered him, Jesus of Nazareth. Jesus saith unto them, I am he. And Judas also, which betrayed him, stood with them. 
"
"905","John 18:7 
 Then asked he them again, Whom seek ye? And they said, Jesus of Nazareth. 
"
"906","John 18:8 
 Jesus answered, I have told you that I am he: if therefore ye seek me, let these go their way: 
"
"907","John 18:11 
 Then said Jesus unto Peter, Put up thy sword into the sheath: the cup which my Father hath given me, shall I not drink it? 
"
"908","John 18:12 
 Then the band and the captain and officers of the Jews took Jesus, and bound him, 
"
"909","John 18:15 
 And Simon Peter followed Jesus, and so did another disciple: that disciple was known unto the high priest, and went in with Jesus into the palace of the high priest. 
"
"910","John 18:19 
 The high priest then asked Jesus of his disciples, and of his doctrine. 
"
"911","John 18:20 
 Jesus answered him, I spake openly to the world; I ever taught in the synagogue, and in the temple, whither the Jews always resort; and in secret have I said nothing. 
"
"912","John 18:22 
 And when he had thus spoken, one of the officers which stood by struck Jesus with the palm of his hand, saying, Answerest thou the high priest so? 
"
"913","John 18:23 
 Jesus answered him, If I have spoken evil, bear witness of the evil: but if well, why smitest thou me? 
"
"914","John 18:28 
 Then led they Jesus from Caiaphas unto the hall of judgment: and it was early; and they themselves went not into the judgment hall, lest they should be defiled; but that they might eat the passover. 
"
"915","John 18:32 
 That the saying of Jesus might be fulfilled, which he spake, signifying what death he should die. 
"
"916","John 18:33 
 Then Pilate entered into the judgment hall again, and called Jesus, and said unto him, Art thou the King of the Jews? 
"
"917","John 18:34 
 Jesus answered him, Sayest thou this thing of thyself, or did others tell it thee of me? 
"
"918","John 18:36 
 Jesus answered, My kingdom is not of this world: if my kingdom were of this world, then would my servants fight, that I should not be delivered to the Jews: but now is my kingdom not from hence. 
"
"919","John 18:37 
 Pilate therefore said unto him, Art thou a king then? Jesus answered, Thou sayest that I am a king. To this end was I born, and for this cause came I into the world, that I should bear witness unto the truth. Every one that is of the truth heareth my voice. 
"
"920","John 19:1 
 Then Pilate therefore took Jesus, and scourged him. 
"
"921","John 19:5 
 Then came Jesus forth, wearing the crown of thorns, and the purple robe. And Pilate saith unto them, Behold the man! 
"
"922","John 19:9 
 And went again into the judgment hall, and saith unto Jesus, Whence art thou? But Jesus gave him no answer. 
"
"923","John 19:11 
 Jesus answered, Thou couldest have no power at all against me, except it were given thee from above: therefore he that delivered me unto thee hath the greater sin. 
"
"924","John 19:13 
 When Pilate therefore heard that saying, he brought Jesus forth, and sat down in the judgment seat in a place that is called the Pavement, but in the Hebrew, Gabbatha. 
"
"925","John 19:16 
 Then delivered he him therefore unto them to be crucified. And they took Jesus, and led him away. 
"
"926","John 19:18 
 Where they crucified him, and two other with him, on either side one, and Jesus in the midst. 
"
"927","John 19:19 
 And Pilate wrote a title, and put it on the cross. And the writing was JESUS OF NAZARETH THE KING OF THE JEWS. 
"
"928","John 19:20 
 This title then read many of the Jews: for the place where Jesus was crucified was nigh to the city: and it was written in Hebrew, and Greek, and Latin. 
"
"929","John 19:23 
 Then the soldiers, when they had crucified Jesus, took his garments, and made four parts, to every soldier a part; and also his coat: now the coat was without seam, woven from the top throughout. 
"
"930","John 19:25 
 Now there stood by the cross of Jesus his mother, and his mother's sister, Mary the wife of Cleophas, and Mary Magdalene. 
"
"931","John 19:26 
 When Jesus therefore saw his mother, and the disciple standing by, whom he loved, he saith unto his mother, Woman, behold thy son! 
"
"932","John 19:28 
 After this, Jesus knowing that all things were now accomplished, that the scripture might be fulfilled, saith, I thirst. 
"
"933","John 19:30 
 When Jesus therefore had received the vinegar, he said, It is finished: and he bowed his head, and gave up the ghost. 
"
"934","John 19:33 
 But when they came to Jesus, and saw that he was dead already, they brake not his legs: 
"
"935","John 19:38 
 And after this Joseph of Arimathaea, being a disciple of Jesus, but secretly for fear of the Jews, besought Pilate that he might take away the body of Jesus: and Pilate gave him leave. He came therefore, and took the body of Jesus. 
"
"936","John 19:39 
 And there came also Nicodemus, which at the first came to Jesus by night, and brought a mixture of myrrh and aloes, about an hundred pound weight. 
"
"937","John 19:40 
 Then took they the body of Jesus, and wound it in linen clothes with the spices, as the manner of the Jews is to bury. 
"
"938","John 19:42 
 There laid they Jesus therefore because of the Jews' preparation day; for the sepulchre was nigh at hand. 
"
"939","John 20:2 
 Then she runneth, and cometh to Simon Peter, and to the other disciple, whom Jesus loved, and saith unto them, They have taken away the LORD out of the sepulchre, and we know not where they have laid him. 
"
"940","John 20:12 
 And seeth two angels in white sitting, the one at the head, and the other at the feet, where the body of Jesus had lain. 
"
"941","John 20:14 
 And when she had thus said, she turned herself back, and saw Jesus standing, and knew not that it was Jesus. 
"
"942","John 20:15 
 Jesus saith unto her, Woman, why weepest thou? whom seekest thou? She, supposing him to be the gardener, saith unto him, Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away. 
"
"943","John 20:16 
 Jesus saith unto her, Mary. She turned herself, and saith unto him, Rabboni; which is to say, Master. 
"
"944","John 20:17 
 Jesus saith unto her, Touch me not; for I am not yet ascended to my Father: but go to my brethren, and say unto them, I ascend unto my Father, and your Father; and to my God, and your God. 
"
"945","John 20:19 
 Then the same day at evening, being the first day of the week, when the doors were shut where the disciples were assembled for fear of the Jews, came Jesus and stood in the midst, and saith unto them, Peace be unto you. 
"
"946","John 20:21 
 Then said Jesus to them again, Peace be unto you: as my Father hath sent me, even so send I you. 
"
"947","John 20:24 
 But Thomas, one of the twelve, called Didymus, was not with them when Jesus came. 
"
"948","John 20:26 
 And after eight days again his disciples were within, and Thomas with them: then came Jesus, the doors being shut, and stood in the midst, and said, Peace be unto you. 
"
"949","John 20:29 
 Jesus saith unto him, Thomas, because thou hast seen me, thou hast believed: blessed are they that have not seen, and yet have believed. 
"
"950","John 20:30 
 And many other signs truly did Jesus in the presence of his disciples, which are not written in this book: 
"
"951","John 20:31 
 But these are written, that ye might believe that Jesus is the Christ, the Son of God; and that believing ye might have life through his name. 
"
"952","John 21:1 
 After these things Jesus shewed himself again to the disciples at the sea of Tiberias; and on this wise shewed he himself. 
"
"953","John 21:4 
 But when the morning was now come, Jesus stood on the shore: but the disciples knew not that it was Jesus. 
"
"954","John 21:5 
 Then Jesus saith unto them, Children, have ye any meat? They answered him, No. 
"
"955","John 21:7 
 Therefore that disciple whom Jesus loved saith unto Peter, It is the Lord. Now when Simon Peter heard that it was the Lord, he girt his fisher's coat unto him, (for he was naked,) and did cast himself into the sea. 
"
"956","John 21:10 
 Jesus saith unto them, Bring of the fish which ye have now caught. 
"
"957","John 21:12 
 Jesus saith unto them, Come and dine. And none of the disciples durst ask him, Who art thou? knowing that it was the Lord. 
"
"958","John 21:13 
 Jesus then cometh, and taketh bread, and giveth them, and fish likewise. 
"
"959","John 21:14 
 This is now the third time that Jesus shewed himself to his disciples, after that he was risen from the dead. 
"
"960","John 21:15 
 So when they had dined, Jesus saith to Simon Peter, Simon, son of Jonas, lovest thou me more than these? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my lambs. 
"
"961","John 21:17 
 He saith unto him the third time, Simon, son of Jonas, lovest thou me? Peter was grieved because he said unto him the third time, Lovest thou me? And he said unto him, Lord, thou knowest all things; thou knowest that I love thee. Jesus saith unto him, Feed my sheep. 
"
"962","John 21:20 
 Then Peter, turning about, seeth the disciple whom Jesus loved following; which also leaned on his breast at supper, and said, Lord, which is he that betrayeth thee? 
"
"963","John 21:21 
 Peter seeing him saith to Jesus, Lord, and what shall this man do? 
"
"964","John 21:22 
 Jesus saith unto him, If I will that he tarry till I come, what is that to thee? follow thou me. 
"
"965","John 21:23 
 Then went this saying abroad among the brethren, that that disciple should not die: yet Jesus said not unto him, He shall not die; but, If I will that he tarry till I come, what is that to thee? 
"
